1,Ich
2,ist
3,ich
4,nicht
5,Sie
6,du
7,das
8,die
9,es
10,und
11,der
12,zu
13,sie
14,Das
15,ein
16,in
17,wir
18,Du
19,mir
20,mit
21,Was
22,den
23,mich
24,was
25,auf
26,dass
27,er
28,eine
29,Es
30,hat
31,Wir
32,Und
33,so
34,sind
35,von
36,dich
37,war
38,haben
39,für
40,Ja
41,hier
42,an
43,habe
44,Er
45,bin
46,wie
47,noch
48,dir
49,uns
50,sich
51,Die
52,nur
53,einen
54,Nein
55,dem
56,ihn
57,auch
58,hast
59,sein
60,ihr
61,da
62,aus
63,kann
64,aber
65,Aber
66,schon
67,wenn
68,wird
69,um
70,Wie
71,als
72,bist
73,im
74,mal
75,doch
76,gut
77,meine
78,jetzt
79,weiß
80,Wenn
81,werden
82,Der
83,nach
84,ja
85,Oh
86,oder
87,dann
88,will
89,mein
90,mehr
91,keine
92,etwas
93,alles
94,muss
95,immer
96,nichts
97,man
98,wieder
99,bei
100,hab
101,machen
102,vor
103,Mann
104,ihm
105,einem
106,tun
107,zum
108,können
109,sagen
110,werde
111,denn
112,Ist
113,Ein
114,Warum
115,einer
116,gehen
117,sehen
118,sehr
119,geht
120,alle
121,über
122,müssen
123,diese
124,einfach
125,euch
126,des
127,nie
128,Also
129,Wo
130,los
131,Zeit
132,Ihnen
133,gibt
134,wirklich
135,Hey
136,Danke
137,deine
138,würde
139,soll
140,Da
141,hatte
142,Hier
143,wissen
144,bitte
145,viel
146,Dann
147,So
148,gesagt
149,Ihr
150,am
151,kein
152,Komm
153,Wer
154,zurück
155,wurde
156,In
157,wollte
158,Frau
159,Leben
160,wäre
161,wo
162,damit
163,Nicht
164,lch
165,Gott
166,Leute
167,kannst
168,heute
169,meinen
170,dieser
171,dein
172,kommt
173,kommen
174,willst
175,Na
176,wollen
177,sicher
178,ganz
179,Jetzt
180,Mein
181,Mr
182,also
183,zur
184,Hast
185,Gut
186,hätte
187,weil
188,tut
189,Hallo
190,Okay
191,macht
192,waren
193,bis
194,Vielleicht
195,könnte
196,Eine
197,Bitte
198,weg
199,seine
200,lassen
201,Vater
202,gesehen
203,Nun
204,gerade
205,Alles
206,glaube
207,Tag
208,ab
209,Geld
210,gemacht
211,nein
212,Sir
213,sollte
214,sagte
215,keinen
216,durch
217,zwei
218,diesen
219,passiert
220,wohl
221,vielleicht
222,ihre
223,Mutter
224,reden
225,anderen
226,dachte
227,daß
228,möchte
229,wirst
230,lhr
231,gehört
232,weißt
233,Keine
234,raus
235,Meine
236,paar
237,besser
238,ob
239,her
240,musst
241,Ordnung
242,meiner
243,klar
244,ihnen
245,Los
246,diesem
247,meinem
248,lange
249,Lass
250,dieses
251,helfen
252,unsere
253,Weg
254,selbst
255,Nur
256,finden
257,Mal
258,jemand
259,denke
260,Ach
261,Nacht
262,genau
263,gar
264,sagt
265,Welt
266,Auf
267,Mädchen
268,ins
269,hin
270,vom
271,schön
272,warum
273,weiter
274,Leid
275,gleich
276,wer
277,Man
278,ohne
279,Menschen
280,deinen
281,leid
282,Wieso
283,dort
284,Als
285,Hause
286,sollten
287,davon
288,zusammen
289,geben
290,Ok
291,Hör
292,machst
293,Freund
294,richtig
295,Angst
296,Bist
297,Tut
298,Mit
299,viele
300,sieht
301,Haus
302,tot
303,sollen
304,ganze
305,andere
306,getan
307,okay
308,rein
309,Diese
310,Moment
311,bleiben
312,brauchen
313,Weil
314,Kinder
315,unter
316,Arbeit
317,Für
318,Problem
319,dafür
320,Herr
321,Haben
322,wegen
323,Jack
324,geht's
325,liebe
326,genug
327,dabei
328,bringen
329,Ihre
330,'ne
331,gegen
332,Weißt
333,Sag
334,schnell
335,nun
336,eines
337,brauche
338,Abend
339,hatten
340,Jahre
341,Mach
342,Bruder
343,Sache
344,hören
345,komm
346,Sohn
347,seit
348,Morgen
349,drei
350,steht
351,Scheiße
352,mag
353,sei
354,unser
355,konnte
356,habt
357,Oder
358,einmal
359,heißt
360,OK
361,Willst
362,Kopf
363,Hilfe
364,Familie
365,Geh
366,Baby
367,Dich
368,Sind
369,erst
370,fertig
371,gefunden
372,seid
373,kam
374,nehmen
375,morgen
376,sprechen
377,Mir
378,sofort
379,Kann
380,Hat
381,Jahren
382,Kind
383,seinen
384,Genau
385,daran
386,Junge
387,Minuten
388,bevor
389,Stadt
390,beim
391,sterben
392,warst
393,Recht
394,glauben
395,Warte
396,darüber
397,deiner
398,lhre
399,deinem
400,Ende
401,He
402,Dinge
403,Namen
404,wahr
405,Alle
406,allein
407,Natürlich
408,töten
409,Nichts
410,Wirklich
411,bekommen
412,Männer
413,vergessen
414,Doch
415,dazu
416,gab
417,später
418,wusste
419,Augen
420,Dank
421,Freunde
422,Jungs
423,halten
424,warten
425,Glück
426,beide
427,gute
428,Dein
429,kennen
430,Deine
431,'n
432,Hi
433,Dr
434,Auto
435,sage
436,gehe
437,komme
438,Dir
439,mache
440,Von
441,Uhr
442,sehe
443,Teufel
444,sonst
445,Art
446,gern
447,Liebe
448,jeden
449,könnten
450,ihren
451,Halt
452,Fall
453,Dad
454,Film
455,bisschen
456,eigentlich
457,weit
458,mach
459,Gib
460,vorbei
461,verstehe
462,danke
463,drin
464,Im
465,Name
466,ganzen
467,Musik
468,würden
469,Tür
470,verrückt
471,solltest
472,denken
473,Noch
474,dran
475,Sieh
476,lieber
477,Den
478,leben
479,Guten
480,Um
481,darauf
482,Kein
483,stimmt
484,John
485,Kerl
486,letzte
487,Job
488,verloren
489,wurden
490,kenne
491,Ahnung
492,seiner
493,Grund
494,toll
495,Bis
496,Verdammt
497,bald
498,bereit
499,all
500,jemanden
501,hinter
502,Schon
503,Sehr
504,Hand
505,darf
506,Dieser
507,Frauen
508,Euch
509,Idee
510,runter
511,Macht
512,draußen
513,lang
514,Land
515,lass
516,Typ
517,hätten
518,egal
519,arbeiten
